ID,Semana,Fase,Fechas,Responsable,Titulo,Detalle,Requerimientos,Modulo,Horas,Hito,Estado
S8-02,Semana 8 — Entregable 3,Cierre,2–8 nov 2026,José,Configurar variables de entorno y cargar los datos iniciales,,,,1.5,,Por hacer
S8-03,Semana 8 — Entregable 3,Cierre,2–8 nov 2026,José,Sacar un respaldo de la base y verificar que se restaure,No basta con generarlo: hay que probar la restauración. Mitigación del riesgo R-06.,,,1,,Por hacer
S8-04,Semana 8 — Entregable 3,Cierre,2–8 nov 2026,José,Documentación técnica,"Modelo entidad-relación final, diagrama de la arquitectura de tres capas y guía de instalación paso a paso.",RNF-09,,4,,Por hacer
S8-05,Semana 8 — Entregable 3,Cierre,2–8 nov 2026,Alex,Desplegar el frontend y verificarlo contra el API de producción,,,,2,,Por hacer
S8-06,Semana 8 — Entregable 3,Cierre,2–8 nov 2026,Alex,Manual de usuario con capturas,"Una sección por rol: administrador, mesero, cocinero y cajero.",,,4,,Por hacer
S8-07,Semana 8 — Entregable 3,Cierre,2–8 nov 2026,Alex,Verificación responsiva final,"En teléfono, tableta y escritorio, en los tres navegadores comprometidos.",RNF-02 RNF-03,,2,,Por hacer
S8-08,Semana 8 — Entregable 3,Cierre,2–8 nov 2026,Ambos,Ejecutar la matriz de pruebas: los treinta RF uno por uno,"Con evidencia de cada uno, sea captura o video corto. Es lo que respalda la calificación del sistema final.",,,5,,Por hacer
S8-09,Semana 8 — Entregable 3,Cierre,2–8 nov 2026,Ambos,Corregir los defectos bloqueantes que revele la matriz,,,,4,,Por hacer
S8-10,Semana 8 — Entregable 3,Cierre,2–8 nov 2026,Ambos,Preparar la presentación de la defensa final,,,,3,,Por hacer
S8-11,Semana 8 — Entregable 3,Cierre,2–8 nov 2026,Ambos,Ensayar la defensa dos veces completas,,,,2,,Por hacer
S8-12,Semana 8 — Entregable 3,Cierre,2–8 nov 2026,Ambos,ENTREGABLE 3 — Entrega del sistema final y defensa,,,,1,Sí,Por hacer
